Issue ID,Severity,Status,Component,Issue Description,Expected Behavior,Actual Behavior,File Location,Date Found
CRIT-01,Critical,Open,MetricsRow / ChatCard,Chat input has no accessible label,Input must have label or aria-label,Placeholder-only input — no label association,MetricsRow.jsx:108,2025-03-29
CRIT-02,Critical,Open,OverlayPanel / MetricsRow,Multiple text elements below 12px minimum,Minimum 10px for labels; 12px for readable text,7px age labels; 8–9px across multiple label classes,OverlayPanel.module.css / MetricsRow.module.css,2025-03-29
HIGH-01,High,Open,Multiple,Touch targets below 44×44px minimum,All interactive elements ≥44×44px,collapseBtn 28px; chatSend 26px; backBtn 36px; entityBtn ~28px height,OverlayPanel.module.css / MetricsRow.module.css / DashboardShell.module.css,2025-03-29
HIGH-02,High,Open,Multiple,aria-expanded missing on all collapsible controls,Toggle buttons must declare aria-expanded,No aria-expanded on CollapsibleSection / ChatCard / Demographics toggles,OverlayPanel.jsx / MetricsRow.jsx,2025-03-29
HIGH-03,High,Open,Sidebar,Sidebar nav uses title not aria-label,Icon-only buttons must use aria-label,title attribute used — not reliably read by screen readers,Sidebar.jsx:175,2025-03-29
HIGH-04,High,Open,DashboardShell / Sidebar,height: 100vh causes iOS Safari layout issues,Use 100dvh for dynamic viewport height,height: 100vh on sidebar and main container,DashboardShell.module.css / Sidebar.module.css,2025-03-29
HIGH-05,High,Open,DashboardShell,Shell background uses hardcoded hex not a design token,Use var(--map-bg) = #E8EAF0,background: #d5dae6 (wrong color not in token system),DashboardShell.module.css:6,2025-03-29
HIGH-06,High,Open,Sidebar,Placeholder SVG shown instead of actual brand logo,Use logo-white.png on dark sidebar background,Generic 3-layer stack SVG used as logo mark,Sidebar.jsx:158,2025-03-29
MED-01,Medium,Open,OverlayPanel,Greeting hardcoded as Hi Admin,Display user's actual name or role from AppContext,Hardcoded string regardless of logged-in user,OverlayPanel.jsx:124,2025-03-29
MED-02,Medium,Open,MetricsRow / ChatCard,Chat message area capped at 80px on desktop,At least 140px to show conversation context,max-height: 80px — approx 4 lines at 10px font,MetricsRow.module.css:209,2025-03-29
MED-03,Medium,Open,MetricsRow,Bottom cards overlap OverlayPanel at 1024px,Cards should not overlap left panel at any breakpoint,At 1024px viewport total required width exceeds available space by ~66px,MetricsRow.module.css / OverlayPanel.module.css,2025-03-29
MED-04,Medium,Open,MetricsRow,2-card flex row instead of 3-column grid per spec,3-column grid with repeat(3 1fr) and align-items: end,Flex row with 2 cards; no third placeholder slot,MetricsRow.module.css:1,2025-03-29
MED-05,Medium,Open,OverlayPanel,Magic number 2.5rem in panel top position,Use a named CSS custom property for breadcrumb height offset,top: calc(var(--space-6) + 2.5rem) — undocumented offset,OverlayPanel.module.css:3,2025-03-29
MED-06,Medium,Open,UgandaMap,No loading state for map GeoJSON,Show skeleton or spinner while topo JSON loads,Blank/partial map visible while GeoJSON loads on slow connections,UgandaMap.jsx,2025-03-29
LOW-01,Low,Open,TopBar / Multiple,Missing type=button on buttons,Add type=button to all non-submit buttons,Buttons default to type=submit,TopBar.jsx:6,2025-03-29
LOW-02,Low,Open,MetricsRow / ChatCard,Chat suggestion pills not recoverable after first message,Allow suggestions to reappear or persist as a toggle,messages.length <= 1 check permanently hides suggestions,MetricsRow.jsx:94,2025-03-29
LOW-03,Low,Open,MetricsRow,Demographics Details/Collapse label ambiguous and missing aria-expanded,Use Expand/Collapse with aria-expanded,Details/Collapse wording unclear; no aria-expanded,MetricsRow.jsx:217,2025-03-29
LOW-04,Low,Open,OverlayPanel,StatusBar component defined but never used,Remove dead code,StatusBar function defined but not referenced anywhere,OverlayPanel.jsx:62,2025-03-29
LOW-05,Low,Open,Sidebar,Mobile tab bar code permanently hidden — dead code,Remove unused JSX and CSS,MOBILE_NAV / mobileBar / mobileBtn all permanently display:none,Sidebar.jsx:219 / Sidebar.module.css:90,2025-03-29
